input_V,input_E,elapsed_time,cpu_time,memory_usage,output_V,output_E,root_node
1000,0,1.1451244354248047,1.0139999999996263,0,1000,0,764
1000,0,1.329660415649414,1.3320000000014431,0,1000,0,650
1000,0,1.5263557434082031,1.528000000000418,0,1000,0,746
1000,0,1.2161731719970703,1.2159999999994398,0,1000,0,342
1000,0,1.111745834350586,1.1119999999991137,0,1000,0,789
1000,0,1.2645721435546875,1.2650000000000716,0,1000,0,571
1000,0,1.8885135650634766,1.8890000000002516,0,1000,0,855
1000,0,2.0589828491210938,2.0359999999985945,0,1000,0,819
10,1,0.0362396240234375,0.03500000000045134,0,10,1,7
10,1,0.0400543212890625,0.04000000000026205,0,10,1,9
10,1,0.0171661376953125,0.01799999999896329,0,10,1,5
10,1,0.015735626220703125,0.01600000000046009,0,10,1,9
10,1,0.015974044799804688,0.014999999999432134,0,10,1,2
