input_V,input_E,elapsed_time,cpu_time,memory_usage,output_V,output_E,root_node
149,0,0.43392181396484375,0.4339999999993793,0,149,0,87
149,0,0.42724609375,0.428000000000317,0,149,0,95
149,0,0.4191398620605469,0.4189999999999472,0,149,0,34
149,0,0.42366981506347656,0.4249999999998977,0,149,0,74
149,0,0.9996891021728516,0.492000000000381,0,149,0,133
149,0,0.43392181396484375,0.4339999999993793,0,149,0,22
201,0,0.4839897155761719,0.4819999999998714,0,201,0,127
201,0,0.3426074981689453,0.34199999999984243,0,201,0,170
201,0,0.38623809814453125,0.3860000000006636,0,201,0,182
201,0,0.3895759582519531,0.3900000000003345,0,201,0,5
201,0,0.4317760467529297,0.4330000000001277,0,201,0,88
201,0,0.4029273986816406,0.4030000000003753,0,201,0,197
201,0,0.5941390991210938,0.5949999999996791,0,201,0,60
201,0,0.4029273986816406,0.4030000000003753,0,201,0,99
